도서명,작가,출판사,출판연도
"음악, 마음을 다스리다  :음악은 어떻게 인간을 완성시켰는가",윤용섭,글항아리,2014
7인의 십자가 사상  :십자가 그 자체로부터 넘치는 십자가로,차재승,Holy WavePlus(새물결플러스),2014
그리스도를 본받아  :충실한 영혼에게 말하는 그리스도의 다정한 대화,"켐피스, 토마스 아",이담Books,2014
가족희생양이 된 자녀의 심리와 상담,"필라리, 비말라",학지사,2008
관념의 모험,화이트 헤드 지음 ; 오영환 옮김,한길사,1996
논 형 (論衡),왕충 지음 ; 이주행 옮김,소나무,1996
현대 사상의 모험,타케다 세이지 지음 ; 김원구 옮김,우 석,1996
계몽과 해방,송두율 지음,당 대,1996
계몽철학 : 그 이론적 토대,J. 코퍼 지음 ; 최인숙 옮김,서광사,1995
기호학파의 철학사상 : 학파의 사상을 찾아서,충남대학교 유학연구소 편저,예문서원,1995
성격은 가릴 수 없고 재능은 꾸밀 수 없다,김영수 ; 김경원 엮음,아 미,1996
심리상담과 치료의 이론과 실제,GERALD COREY 지음 ; 조현춘 ; 조현재 공역,시그마프레스,1996
아우구스티누스와 행복의 윤리학,문시영 지음,서광사,1996
해석학의 이해,E.후프나겔 지음 ; 강화순 옮김,서광사,1995
(토마스 아퀴나스의) 有와 本質에 대하여,토마스 아퀴나스 지음 ; 정의채 옮김,서광사,1995
수학은 너무 어려워,베아트리스 루에 글 ; 로지 그림 ; 최윤정 옮김,비룡소,2008
기본응급처치학,전국응급구조학과교수협의회 옮김,한미의학,2010
한국복식 2천년,국립민속박물관 편저,신 유,1996
정의에 관하여,J. 피이퍼 지음 ; 강성위 옮김,서광사,1995
양명학자 정제두의 철학사상,김교빈 지음,한길사,1995
이야기 중국철학,정경자 지음,한실미디어,1996
주희에서 정약용으로,한형조 지음,세계사,1996
정상적인것과 병리적인것,여인석 지음,인간사랑,1997
풍수로 보는 인테리어,사라 로스바크 지음 ; 황봉득 옮김,동도원,1995
목민심서,정약용 지음 ; 김상기 옮김,전원문화사,1996
미리 보는 우리 아이 좋은 사주,한정희 지음,책세상,1996
사랑의 기교,오비디우스 지음 ; 김영락 옮김,열린책들,1996
역학은 철학이다,서훈 저,사계절,1995
목은 이색의 생애와 사상,목은연구회 편저,일조각,1996
103인의 현대사상 : 20세기를 움직인 사상의 모험가들,김우창 ; 유종호 ; 도정일 외엮,민음사,1996
"당신의 직업, 하나님의 계획입니다",빌 하이벨스 지음 ; 민문영 옮김,죠이선교회출판부c1996,1996
조선중기 예학사상사,고영진 지음,한길사,1996
참된 자신으로 이르는 삶의 지혜,톨스토이 외저 ; 유제관 옮김,넥서스,1996
(미생물에서 인간까지)마음의 진화유토피아 사상,대니얼 C. 데닛 지음 ; 이희재 옮김,두산동아,1996
현대 철학은 진리를 어떻게 정의하는가,남경태 지음,두산동아,1997
해석학과 현대철학,백승균 외 지음,철학과 현실사,1996
국어 용례 사전,남영신 엮음,성안당,1995
현상학으로 가는길. 1,이영호 지음,성균관대학교,1995
일본어 외래어 사전,시사일본어편집부,시사일본어사,1994
논리와 진리,여훈근 외저,철학과현실사,1996
르네상스 철학에서의 개체와 우주,에른스트 카시러 지음 ; 박지형 옮김,민음사,1996
니체의 몸 철학,김정현 지음,지성의샘,1995
천생연분경,정다운 편저,밀알,1997
윤리학의 기본원리,폴 테일러 지음 ; 김영진 옮김,서광사,1985
"""나""는 존재하지 않는다 흄(HUME)","스트래던, 폴",펀앤런북스,1996
현상학,한전숙 지음,민음사,1996
현대 인도네시아-한국어 사전,안영호 편저,한국외국어대학교출판부,1995
미리보는 꿈 해몽법,정청암 엮음,문원북,1996
청소년의 인간화 교육,김동위 지음,교육과학사,1994
언어 논리 존재 ; 언어철학 논리철학 입문,김영정 지음,철학과 현실사,1997
고요한 침묵속에서의 자유,크리슈나무르티 지음 ; 김홍석 옮김,문조사,1996
친구에게 주는 사랑의 말,곽광택 지음,주변의 길,1996
칸트와 윤리학,한국칸트학회 편저,민음사,1996
고통받는 사람들을 위한 명상집,패트리아 넬슨 지음 ; 장이정 옮김,책나라,1995
시간의식,에드문트 후설 지음 ; 이종훈 옮김,한길사,1996
상담심리학  :상담과 심리치료의 주요 이론과 실제  =Counseling psychology,박경애,공동체,2014
힌디-한국어 사전,이정호 외엮음,한국외국어대학교출판부,1995
정신분석 입문,프로이트 지음 ; 이영희 옮김,돋을새김,1996
쉽게찾는 우리나비,이원규 지음,현암사,1995
엄마와 함께 그리는 세상,강희옥 ; 하누리 공저,아세아미디어,1997
중국어 허사 쓰임사전,이상기 지음,진 명,1995
그리스.로마극의 세계. 1,고전.르네쌍스드라마한국학회 [편],동인,2000
인상주의,제니스 앤더슨 ; 유경희 역,한국프뢰벨,1995
천사가 등장하는 작품들,미란다 펠로우스 ; 치기득 역,한국프뢰벨,1995
피사로,린다 도에세르 ; 유경희 역,한국프뢰벨,1995
피카소,나다니엘 해리스 ; 이주연 역,한국프뢰벨,1995
(새번역)논어,이수태 지음,생각의나무,1999
시사 더 베스트 日本語 한자 읽기 사전,이덕봉 저,시사일본어사,1999
(소설로 읽는)소크라테스와 아내,드니 랭동 지음 ; 윤정임 옮김,솔,1999
제국주의,박지향 지음,서울대학교,2000
북한 학자가 쓴 조선의 민속놀이,도유호 ; 박시형 ; 황철산외 공저 ; 주강현 해제,푸른숲,1999
컨스터블,클라렌스 존스저 ; 이주연 역,한국프뢰벨주식회사,1998
로트레크,나다니엘 해리스저 ; 정연심 역,한국프뢰벨주식회사,1998
전쟁론,카를 폰 클라우제비츠 저 ; 류제승 옮김,책세상,1998
공황장애,박현순 지음,학지사,2000
라파엘 전파,에드먼드 스윙글허스트 : 원형준 역,한국프뢰벨주식회사,1998
키케로의 의무론,키케로 저 ; 허승일 옮김,서광사,1989
우리들의 시간,박경리 지음,나남출판,2000
(초.중고생을 위한)음악용어사전,송경수 엮음 ; 안동민 감수,현대음악출판사,1998
동양적 가치란 무엇인가,송복 지음,생각의 나무,1999
중요무형문화재 공예기술Ⅰ. 4,문화재연구회 글·사진,대원사,1999
실학사상과 근대성,계명대학교 철학연구소 저,예문서원,1998
SURREALISTS,에드먼드 스윙글허스트 저 ; 유경희 역,한국프뢰벨주식회사,1998
샤갈,나다니엘 해리스 저 ; 이정숙 역,한국프뢰벨주식회사,1998
보티첼리,에드먼드 스윙글허스트 저 ; 지미정 역,한국프뢰벨주식회사,1998
르누아르,제니스 앤더슨저 ; 유경희 역,한국프뢰벨주식회사,1998
그리스인 조르바,니코스 카잔차스키 지음 ; 이윤기 옮김,고려원,1998
(누구나 쉽게 볼 수 있도록 풀어 쓴)열린 주역,권오인 편저,예문당,2000
후기인상주의,에드먼드 스윙글허스트저 : 최기득 역,한국프뢰벨주식회사,1998
게인즈버러,린다 도에세르 저 : 최기득 역,한국프뢰벨주식회사,1998
바다풍경화,에드먼드 스윙글허스트 저 : 최기득 역,한국프뢰벨주식회사,1998
EXPRESSIONISTS,제니스 앤더슨저 ; 최기득 역,한국프뢰벨주식회사,1998
공자 노자 석가,모로하시 데츠지 지음 ; 심우성 옮김,동아시아,2001
(조선말 실학자)최한기의 철학과 사상,최영진 외지음,철학과 현실사,2000
감정과 에로스의 철학,조정옥 지음,철학과 현실사,1999
몸의 정치,정화열 ; 박현모  지음,민음사,1999
미술사방법론,로리 슈나이더 애덤스 저 ; 박은영 옮김,조형교육,1999
중국 사상이란 무엇인가,하치야 구니오 지음 ; 한예원 옮김,학고재,1999
퇴계의 생애와 학문,이상은 저,예문서원,1999
전통사찰총서. 13,사찰문화연구원 편,사찰문화연구원,1999
칸딘스키,베가 오닐 ; 심은신 역,한국프뢰벨,1995
민족시인 신동엽,구중서 ; 강형철 편,소명출판,1999
시간과 존재의 빛,신상희 지음,한길사,2000
이성의 기능,화이트 헤드 저 ; 김용옥 옮김,통나무,1998
